"ENT","CON","TOT_PER","TOT_HOM","P1_3_H1","P1_3_H2","P1_3_H3","P1_3_H4","P1_3_H5","P1_3_H6","P1_3_H7","P1_3_H8","P1_3_H9","P1_3_H10","P1_3_H11","TOT_MUJ","P1_3_M1","P1_3_M2","P1_3_M3","P1_3_M4","P1_3_M5","P1_3_M6","P1_3_M7","P1_3_M8","P1_3_M9","P1_3_M10","P1_3_M11","P1_3_M12","P1_3_M13","P2_1_1","P2_1_2","P2_1_3","P2_1_4","P2_1_5","P2_1_6","P2_2","P4_1_1","P4_1_2","P4_1_3","P4_1_4","P4_1_5","P4_1_6","P4_1_7","P4_1_8","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_2_6","P4_2_7","P4_2_8","P4_2_9","P4_2_10","P4_3_1","P4_3_2","P4_3_3","P4_3_4","P4_3_5","P4_3_6","P4_3_7","P4_3_8","P4_3_9","FACTOR"
"01","01E12428","05","03","42","11","64","","","","","","","","","02","16","40","","","","","","","","","","","","2","2","2","2","1","2","01","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1378
"01","01E12453","04","02","36","12","","","","","","","","","","02","38","08","","","","","","","","","","","","2","2","1","1","1","1","","1","2","1","2","2","2","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0",1621
"01","01E12468","05","04","28","50","25","03","","","","","","","","01","47","","","","","","","","","","","","","2","2","1","2","1","2","02","","","","","","","","","","","","","","","","","","","","","","","","","","","",1764
"01","01E12503","03","01","19","","","","","","","","","","","02","42","21","","","","","","","","","","","","2","2","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1454
"01","01E12510","06","04","78","01","32","14","","","","","","","","02","70","31","","","","","","","","","","","","2","2","1","2","1","1","","2","2","2","2","2","2","2","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0",889
"01","01E12513","05","02","02","41","","","","","","","","","","03","05","40","04","","","","","","","","","","","2","2","1","2","1","1","","1","2","2","2","2","2","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1866
"01","01E12586","02","01","45","","","","","","","","","","","01","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1804
"01","01E12590","03","02","02","05","","","","","","","","","","01","30","","","","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1711
"01","01E12600","04","02","07","48","","","","","","","","","","02","14","36","","","","","","","","","","","","1","1","1","2","1","1","","1","2","2","2","2","1","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1374
"01","01E12623","04","02","08","35","","","","","","","","","","02","15","42","","","","","","","","","","","","1","2","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0",1374
"01","01E12649","04","02","17","33","","","","","","","","","","02","63","39","","","","","","","","","","","","2","1","1","1","1","1","","1","2","2","1","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1268
"01","01E12661","05","02","22","45","","","","","","","","","","03","45","10","05","","","","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","1","2","2","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0",1218
"01","01E12678","03","01","57","","","","","","","","","","","02","22","53","","","","","","","","","","","","1","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0",1356
"01","01E12679","06","02","07","57","","","","","","","","","","04","56","34","37","40","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0",1049
"01","01E12686","07","03","02","30","65","","","","","","","","","04","60","01","24","29","","","","","","","","","","1","1","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",624
"01","01E12728","02","01","27","","","","","","","","","","","01","26","","","","","","","","","","","","","2","1","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1712
"01","01E12834","04","01","51","","","","","","","","","","","03","51","15","12","","","","","","","","","","","2","1","2","2","1","1","","2","2","1","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1165
"01","01E12836","03","02","38","05","","","","","","","","","","01","34","","","","","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0",1711
"01","01E12837","05","04","14","38","12","09","","","","","","","","01","42","","","","","","","","","","","","","2","2","2","2","2","2","01","2","2","2","2","2","2","2","2","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0",1303
